prot,urea,carb,fat
0.09060451,1354,0.3198614,0.04952095
0.09540933,1599,0.3368238,0.04503218
0.09235007,888.5,0.3260237,0.04196551
0.09134664,1755,0.3224813,0.04417376
0.08481385,1334,0.2994186,0.05123984
0.07925853,1624,0.2798066,0.04843859
0.04058913,1129,1.168037,0.02478032
0.0388738,1396,1.123753,0.02054245
0.03624011,1050,1.043038,0.01982152
0.04076106,580,1.178771,0.01668275
0.03632262,1303,1.407617,0.02061981
0.03734882,613,1.444727,0.01843243
0.02912949,695,0.3786834,0.04287535
0.02783266,955.5,0.3618245,0.03807719
0.02910147,946,0.3783191,0.04295433
0.02633805,610.4,0.3423946,0.040468
0.02376512,922,0.3089465,0.04519865
0.0251087,362,0.3264131,0.05249916
0.01614707,620.5,0.9007161,0.02443539
0.01705966,1180,0.9526538,0.02933092
0.01628135,368,0.9124096,0.02361008
0.01730291,401,0.9675061,0.01972315
0.01462658,617.9,0.8078313,0.02663765
0.01374231,604.7,0.7575115,0.03089761
