"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009060","GO:0009060","aerobic respiration","97/3322","165/22841",1.38341100674606e-39,8.38762093390136e-36,7.46605077009163e-36,"Mup1/ND2/Ireb2/Cat/COX1/Mdh1/Ndufs2/Ppif/ATP6/Cox7a1/1700066M21Rik/Fh1/Apoc3/Park7/Bdnf/Ndufa10/COX2/CYTB/Ndufs3/ND1/Idh1/Sdhd/Suclg1/Ndufs8/Coa6/Sdhb/Cyc1/Afg1l/ND4/Atp5k/Ndufb8/COX3/Sirt3/ATP8/Atp5j2/Uqcrb/Chchd2/Ndufaf1/Uqcrc1/Sucla2/Ndufb9/Tefm/ND3/Atp5j/Atp5e/Cox6a1/Uqcr10/Sdhc/Sdhaf2/Uqcrq/Uqcc2/Cox5a/Bloc1s1/Ndufs4/Ndufb6/Uqcrh/Ndufs6/Uqcrfs1/Ndufc2/Atp5o/Ndufv3/Atp5c1/Atp5pb/Ndufv2/Dnajc15/Ndufa12/Cox5b/Iscu/Suclg2/Coq7/Bid/Bnip3/Cox7c/Idh3b/Ndufa7/Cycs/Atp5d/Coq9/Cox4i1/Cox7a2/Dlat/Mrps36/Atp5h/Mtfr1/Ndufs7/Msh2/Stoml2/Dld/Mtch2/Gadd45gip1/Fxn/ND6/Uqcc3/Ndufa8/Antkmt/Cs/Idh3a",97
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","68/3322","92/22841",1.35381071547478e-37,4.1040771839618e-34,3.65315133591537e-34,"ND2/Ndufs2/Taco1/Ndufaf6/Surf1/Ndufa10/Ndufb3/Ndufs3/ND1/Ndufs8/Ndufaf5/Sdhaf4/Dmac1/Ndufc1/ND4/Ndufaf8/Ndufa1/Ndufb8/Ndufa3/Ndufb5/Tmem126b/Oma1/Ndufaf1/Ndufa9/Ndufb9/Ndufs5/Cox19/Sdhaf2/Uqcc2/Ndufs4/Uqcc1/Ndufb6/Ndufs6/Ndufc2/Pet100/Ndufa2/Ndufa6/Ndufb2/Ndufaf7/Ndufa12/Sdhaf3/Ndufa5/Ndufa11/Cox14/Ndufb10/Ndufb11/Ndufaf4/1190007I07Rik/Ndufaf2/Ndufaf3/Cox16/Coa3/Ndufs7/Lyrm7/Tmem126a/Smim20/Ndufb4/Immp2l/Coa4/Timm21/Cox17/Coa8/ND6/Uqcc3/Chchd4/Ndufb7/Ndufa8/Sco1",68
"GO:0006119","GO:0006119","oxidative phosphorylation","77/3322","116/22841",4.85773325879416e-37,9.81747891602299e-34,8.73880646239918e-34,"ND2/COX1/Ndufs2/Ppif/ATP6/Cox7a1/1700066M21Rik/Apoc3/Park7/Bdnf/Ndufa10/COX2/CYTB/Ndufs3/ND1/Sdhd/Ndufs8/Coa6/Cyc1/Afg1l/ND4/Atp5k/Ndufb8/COX3/ATP8/Atp5j2/Uqcrb/Chchd2/Ndufaf1/Uqcrc1/Ndufb9/Tefm/ND3/Atp5j/Atp5e/Cox6a1/Uqcr10/Sdhc/Sdhaf2/Uqcrq/Uqcc2/Cox5a/Ndufb6/Uqcrh/Ndufs6/Uqcrfs1/Ndufc2/Atp5o/Ndufv3/Atp5c1/Atp5pb/Ndufv2/Dnajc15/Ndufa12/Cox5b/Iscu/Coq7/Bid/Cox7c/Ndufa7/Cycs/Atp5d/Coq9/Cox4i1/Cox7a2/Atp5h/Ndufs7/Msh2/Stoml2/Dld/Mtch2/Gadd45gip1/Fxn/ND6/Uqcc3/Ndufa8/Antkmt",77
"GO:0044282","GO:0044282","small molecule catabolic process","132/3322","333/22841",1.2770732419794e-29,7.74289506612108e-27,6.89216264381933e-27,"Bdh2/Gls2/Upp2/Abhd3/Ido2/Prodh/Nudt7/Ldhd/Gcat/Ahcy/Hoga1/Ahcyl/Glo1/Sds/Qdpr/Gcdh/Hpd/Kmo/Sult1b1/Aass/Phyh/Acadsb/Dbi/Otc/Uox/Adhfe1/Mtmr7/Akr1d1/Hao1/Cyp27a1/Ivd/Nqo2/Uroc1/Got1/Oat/Aldh4a1/Echdc1/Adh4/Upb1/Acacb/Abat/Pipox/Upp1/Urad/Gnpda1/Dera/Gstz1/Thnsl2/Tpi1/Mccc2/Cyp4f14/Qprt/Dpyd/Nudt19/Sult2a8/Pah/Ftcd/Arg1/Hsd17b10/Park7/Dbt/Hibadh/Obp2a/Bckdhb/Hgd/Agxt2/Pex7/Etfa/Idnk/Adh5/Acad8/Tdo2/Hal/Slc25a17/Sdsl/Acmsd/Cdo1/Kynu/Acot7/Aldh1l1/Acsl5/Fabp1/Galt/Acat2/Fah/Akr1a1/Aldh6a1/Urah/Inpp1/Pnp/Cyp4f15/Glud1/Ddah1/Gcsh/Prodh2/Shmt1/Auh/Echs1/Agxt/Hagh/Pnp2/Esd/Ddo/Acaa2/Scly/Acads/Nudt1/Blmh/Aasdhppt/Hadh/Pex13/Hibch/Gnpda2/Cyp7a1/Mtln/Lpin3/Apoe/Galm/Pycrl/Pex5/Pex2/Bpnt1/Dld/Adtrp/Pon1/Oxct1/Haghl/Gale/Amdhd2/Npl/Khk/Cyp1a1",132
"GO:0016054","GO:0016054","organic acid catabolic process","98/3322","220/22841",5.91341823879656e-27,2.39020365212157e-24,2.12758563581123e-24,"Bdh2/Gls2/Abhd3/Ido2/Prodh/Nudt7/Ldhd/Gcat/Ahcy/Hoga1/Ahcyl/Sds/Qdpr/Gcdh/Hpd/Kmo/Aass/Phyh/Acadsb/Dbi/Otc/Adhfe1/Akr1d1/Hao1/Ivd/Uroc1/Got1/Oat/Aldh4a1/Echdc1/Acacb/Abat/Pipox/Gnpda1/Gstz1/Thnsl2/Mccc2/Cyp4f14/Qprt/Nudt19/Sult2a8/Pah/Ftcd/Arg1/Hsd17b10/Dbt/Hibadh/Obp2a/Bckdhb/Hgd/Agxt2/Pex7/Etfa/Idnk/Acad8/Tdo2/Hal/Slc25a17/Sdsl/Acmsd/Cdo1/Kynu/Acot7/Aldh1l1/Acsl5/Fabp1/Acat2/Fah/Akr1a1/Aldh6a1/Cyp4f15/Glud1/Ddah1/Gcsh/Prodh2/Shmt1/Auh/Echs1/Agxt/Ddo/Acaa2/Scly/Acads/Blmh/Aasdhppt/Hadh/Pex13/Hibch/Gnpda2/Mtln/Lpin3/Pex5/Pex2/Dld/Adtrp/Pon1/Amdhd2/Npl",98
"GO:0006520","GO:0006520","cellular amino acid metabolic process","107/3322","258/22841",3.76261290587314e-26,1.4257951280193e-23,1.26913923476392e-23,"Gls2/Haao/Ido2/Prodh/Iyd/Gcat/Ahcy/Hoga1/Ahcyl/Sds/Qdpr/Hpd/Kmo/Aass/Acadsb/Otc/Dct/Adhfe1/Ivd/Ass1/Uroc1/Keg1/Got1/Asl/Mpst/Oat/Aldh4a1/Upb1/Abat/Gnmt/Pipox/Hars2/Aadat/Tst/Srr/Nags/Cyp2d22/Fh1/Gstz1/Thnsl2/Mccc2/Pah/Ftcd/Arg1/Hsd17b10/Park7/Dbt/Acy1/Hibadh/Bckdhb/Sephs2/Hgd/Agxt2/Etfa/Ttc36/Acad8/Tdo2/Pcbd1/Hal/Azin2/Bhmt/Nars2/Sdsl/Cps1/Acmsd/Cdo1/Kynu/Dhfr/Nit2/Fars2/Azin1/Fah/Agmat/Aldh6a1/Aldh1a1/Glud1/Ddah1/Gcsh/Prodh2/Shmt1/Auh/Agxt/Bhmt2/Ddo/Slc39a8/Scly/Mmut/Adi1/Blmh/Aasdhppt/Mthfd2l/Dalrd3/Gamt/Hibch/Accs/Pcmt1/Apip/Pycrl/Gatb/Baat/Dld/Nr1h4/Glyat/Adssl1/Yars2/Spr/Lars2",107
"GO:0006631","GO:0006631","fatty acid metabolic process","148/3322","444/22841",7.03550999937252e-24,2.24506826979977e-21,1.99839666297966e-21,"Cyp2f2/Cyp4a12a/Bdh2/Abhd3/Cyp4a12b/Nudt7/Ces1e/Elovl3/Cyp4v3/Pecr/Acbd4/Gcdh/Cyp2d9/Rgn/Phyh/Slc27a5/Acadsb/Dbi/Ces2e/Hao1/Scd1/Ivd/Acss2/Echdc1/Adh4/Acacb/Pdk2/Scd3/Daglb/Cyp2j5/Cyp2d22/Scd4/Cyp2u1/Prxl2b/Thnsl2/Cyp2d12/Cyp4f14/Nudt19/Apoc1/Gpx1/Apoc3/Hsd17b10/Acot11/Obp2a/Lypla1/Insig1/Pex7/Etfa/Adh5/Adipor2/Akr1c20/Mblac2/Ces2a/Cyp1a2/Cyp2c55/Gstm7/Echdc3/Cyp2c50/Hpgd/Cyp2d10/Slc25a17/Cyp2j6/Abhd5/Acot7/Apoc2l/Elovl5/Acsl5/Fabp1/Pdk1/Acat2/Apoa1/Akr1c6/Ces2c/Acly/Cyp4f15/Scap/Auh/Echs1/Decr2/Ndufs6/Cyp2c54/Ptgr1/Cryl1/Cav1/Ptges2/Elovl1/Oxsm/Acaa2/Cyp2d34/Lipc/Scd2/Acads/Cyp2c70/Alkbh7/Pla2g15/Cyp2c29/Hadh/Hacd1/Fabp2/Cyp2d11/Pex13/Fabp4/Gstp1/Cbr4/Fabp5/Them4/Mcat/Mid1ip1/Fasn/Cyp2c37/Ptgr2/Cyp7a1/Mtln/Lpin3/Nr1h3/Adipor1/Ces1g/Pex5/Gpat2/Asah1/Mecr/Gpam/Pex2/Degs1/Sox9/Baat/Dld/Naaa/Lias/Adtrp/Cyb5a/Cyp2c67/Cyp2c69/Hacd2/Il1b/Cyp2a12/Brca1/Elovl6/Hacd4/Cyp2g1/Pnpla3/Cyp2b10/Cd36/Sco1/Tnfrsf1a/Anxa1/Cyp2a5/Cyp1a1",148
"GO:0006790","GO:0006790","sulfur compound metabolic process","120/3322","327/22841",1.39305462739479e-23,4.2230451029473e-21,3.75904793402793e-21,"Gstt3/Ghr/Ggt6/Nudt7/Ahcy/Ahcyl/Glo1/Gstk1/Gcdh/Pmvk/Sulf2/Sult1b1/Acadsb/Mgst1/Clic5/Nat8f1/Acss2/Keg1/Mpst/Acacb/Gstt1/Nat8f7/Pdk2/Gnmt/Pipox/Gstm6/Tst/Gstz1/Mcee/Nudt19/Sult2a8/Gpx1/Pdhx/Park7/Acot11/Nat8/Idh1/Sqor/Tdo2/Suclg1/Gstm7/Gsta4/Ethe1/Tpk1/Bhmt/Cps1/Cdo1/Kynu/Acot7/Gsta3/Sult1a1/Acsl5/Pdk1/Ciao1/Sucla2/Suox/Isca1/Acly/Mvk/Mvd/Hbb-bt/Hbb-b1/Agxt/Hagh/Ptges2/Bhmt2/Chac2/Sult5a1/Arl6ip5/Iscu/Hmgcs1/Sod1/Suclg2/Nfu1/Oxsm/Acaa2/Mmut/Adi1/Hscb/Tpst2/Blmh/Mthfd2l/Ciao2a/AK157302/Glrx5/Mat2b/Gstp1/Isca2/Gamt/Dlat/Ciao2b/Sult1d1/Ciao3/Fasn/Pcmt1/Apip/Gpam/Gsto1/Baat/Dld/Glyat/Nat8f5/Lias/Chst7/Mpc2/Fxn/Csgalnact2/Chst2/Gsta2/Gstm5/Amd1/Clic1/Nat8f2/G6pdx/Amd2/Gsta5/Cs/Dse/Thtpa/Ppcs",120
"GO:0046034","GO:0046034","ATP metabolic process","103/3322","261/22841",3.2404359258752e-23,9.35560143741969e-21,8.32767668770033e-21,"Ldhd/Pgam1/Aldoc/ND2/COX1/Ak3/Ndufs2/Ppif/Nmnat1/ATP6/Cox7a1/1700066M21Rik/Tpi1/Apoc3/Park7/Bdnf/Bcl2l1/Atp5g3/Ndufa10/COX2/CYTB/Ndufs3/ND1/Sdhd/Ndufs8/Coa6/Cyc1/Afg1l/ND4/Atp5k/Ndufb8/COX3/ATP8/Atp5j2/Esrrb/Galt/Uqcrb/Chchd2/Ndufaf1/Uqcrc1/Ndufb9/Nudt2/Tefm/Atpif1/ND3/Atp5j/Atp5e/Cox6a1/Uqcr10/Sdhc/Sdhaf2/Uqcrq/Uqcc2/Cox5a/Ndufb6/Enpp3/Ola1/Uqcrh/Cfh/Ndufs6/Uqcrfs1/Ndufc2/Atp5o/Ndufv3/Atp5c1/Atp5pb/Ndufv2/Dnajc15/Ndufa12/Cox5b/Iscu/Pgk1/Coq7/Tspo/Bid/Fis1/Atp5l/Cox7c/Ndufa7/Cycs/Atp5d/Coq9/Cox4i1/Cox7a2/Atp5g1/Atp5h/Ndufs7/Msh2/Stoml2/Dld/Prkn/Mtch2/Atp1b1/Gadd45gip1/Fxn/ND6/Pid1/Uqcc3/Gale/Ndufa8/Khk/Bpgm/Antkmt",103
"GO:0140053","GO:0140053","mitochondrial gene expression","56/3322","109/22841",1.3227948718785e-19,3.08465588776898e-17,2.74573656199234e-17,"Fastkd1/Taco1/Hsd17b10/Sirt3/Mterf4/Tefm/Mrps14/Rmnd1/Mtrf1/Uqcc2/Nsun4/Rpusd3/Ptcd3/Cfh/Mrps35/Mrps27/Mrpl44/Mrps15/Mrps21/Mrpl43/Ndufa7/Mthfs/Mrpl2/Mterf1a/Mterf2/Mrps11/Mtg2/Mto1/Malsu1/Coa3/Chchd1/Mrps16/Trnt1/Mtres1/Mrps12/Supv3l1/Trmt5/Gatb/Mrps18a/Mrpl57/Mrps6/Mrps28/Mrps2/Mrpl51/Mrps25/Rpusd4/Mrpl16/Mrpl47/Yars2/Mrpl58/Trmt10c/Cdk5rap1/Ngrn/Lars2/Tsfm/Fastkd5",56
