"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","191/5073","430/22841",4.60677710647668e-25,2.9446519264599e-21,1.7685174849811e-21,"Adra1a/Kbtbd7/Rtn4/Arhgap42/Adcyap1r1/Cyth3/Met/Dock10/Rasa2/Eps8/Rapgefl1/Psd3/Synj2bp/Rab21/Nras/Igf1/Net1/Crk/G3bp2/Dnaja3/Chm/Robo1/Ralbp1/Cdh2/Syngap1/Chml/Chuk/Shoc2/Erbin/Spry2/Ssx2ip/Foxm1/F2r/Nrp1/Rasgrp1/Rheb/Garre1/Arhgap32/Dock4/Rap2c/Dennd4c/Fbxo8/Dock7/Ralgapb/Rap1gap2/Ralgapa1/Bcar3/Ednra/Amot/Synpo2l/Cdc42ep3/Usp8/Arhgap12/Cbl/Arhgap30/Arhgef12/Arfgef1/Arfgef3/Ccdc88a/Ripor2/Gna13/Scai/Arhgap44/Nkiras2/Abi2/Akap13/Brap/Dock1/Sos1/F2rl1/Kank1/Rhobtb1/Lztr1/Shtn1/Ralgps1/Sos2/Heg1/Rap1b/Rapgef6/Wasf2/Rap2a/Dock9/Ogt/Ralgps2/Csf1/Kitl/Itgb1/Cyfip1/Rock1/Rgl1/Rhobtb3/Kalrn/Rerg/Sipa1l3/Arfgef2/Ksr2/Camk2d/Rhoq/Abl2/Dock11/Arhgap18/Rhoa/Sdcbp/Rasgef1a/Rsu1/Rapgef2/Dennd4b/Tiam1/Usp28/Timp2/Dlc1/Rock2/Nckap1/Cdc42bpa/Plce1/Pik3cg/Rasgrp3/Dab2ip/Rab12/Arhgap28/Map2k1/Reln/Notch2/Ophn1/Pik3cb/Dennd4a/Arhgap26/Itgav/Abca1/Kras/Arhgef9/Dab1/Spry1/Lpar6/Als2/Slit2/Kctd10/Arhgef10/Rabl3/Chn1/Ntrk1/Nrg1/Ralgds/Rapgef5/Arhgap17/Tnfaip1/Arhgef3/Flcn/Vangl2/Mfn2/Notch1/Vav3/Cdc42se2/Arhgap35/Lpar1/Arhgap24/Mapkap1/Nf1/Arhgap31/Sipa1l2/Tiam2/Wasf1/Dock5/Setdb1/Arhgap33/Cdh13/Rab33b/Rnd3/Mapre2/Arhgap1/Rhot1/Cyrib/Rhebl1/Dhcr24/Cdc42/Plcd4/Arl6/Cd2ap/Ulk1/Arhgap19/Mcf2l/Rasgrf2/Kpnb1/Agtr1a/Rhoj/Arap3/Srgap1/Plk2/Was/Adrb1/Cgnl1",191
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","196/5073","459/22841",3.65210408289008e-23,1.16721246489167e-19,7.01011767910533e-20,"Il33/Cnot6l/Chfr/Rnft1/C9orf72/Paip1/Irs1/Trim34a/Adam9/Pik3c2a/Trp53inp1/Abhd5/Tsc1/Rdx/Igf1/Ythdf3/Rnf152/Ankib1/Pum1/Tut4/Hif1a/Snx7/Socs4/Zbtb20/Tent4b/Ikbkg/Entpd5/Tmtc3/Atm/Smcr8/P2rx7/Qk/Zfp36/Gnai3/Sirt1/Slc4a4/Pten/Dcp2/Mid2/Tob1/Det1/Cpeb3/Cav1/Gigyf2/Gsk3b/Zfp36l1/Sesn3/Egf/Epm2a/Itch/Wipi1/Rgn/Ulk2/Rnf144a/Trim30d/Fmr1/Bbs7/Tent4a/Tbk1/Kdr/Ubqln1/Vgll4/Tnrc6c/Trib2/Zfand2a/Snx9/Trim14/Cnot6/Rb1cc1/Grsf1/Snx18/Sh3d19/Trim12c/Rc3h2/Mettl14/Tut7/Lrrk2/Abcd2/Mir196a-1/Sesn1/Atf6/Mtdh/Rock1/Prkaa2/Fbxw7/Tnrc6a/Ago2/Prkaa1/Arih1/Agtpbp1/Vps35/Cnot1/App/Rab3gap1/Rc3h1/Sh3rf1/Mettl3/Vps13d/Zc3h12d/Tnrc6b/Dapk1/Fyco1/Sesn2/Dtx3l/Amer1/Btg2/Irs2/Mlh1/Socs5/Dact1/Foxo3/Zfp36l2/Csde1/Msn/Trim21/Rock2/Tnfaip3/Htt/Dab2ip/Rab12/Mex3d/Map2k1/Smad7/Dhx36/Rnf19a/Tmem67/Igf2bp1/Insr/Snx4/Celf1/Pafah1b2/Snx30/Mapk8/Pnpt1/Zyg11b/Rnf144b/Syncrip/Pde12/Atg13/Prkcd/Hnrnpr/Cpt1a/Sptlc1/Wac/Flcn/Sptlc2/Tardbp/Mapk9/Hspb8/Fbxl5/Dcp1a/Mdm2/Trib1/Samd4/Ctsc/Trim5/Prxl2c/Pias1/Rnf139/Tmem59/Trim68/Cnot7/Ythdf1/Hnrnpu/Cnot2/Nod2/Adra2a/Scoc/Gclc/Zc3hav1/Ulk1/Gpld1/Pip4k2a/Plk3/Foxo1/Pip4k2c/Abca2/Plekhn1/Pabpc1/Larp1/Igtp/Noct/Plk2/Ezr/Smo/Sh3glb1/Trim30a/Gapdhs/Khsrp/Rab3gap2/Patl1/Map3k7/Bcl2l11/Rnf217/Lsm1/Pan3",196
"GO:0043087","GO:0043087","regulation of GTPase activity","155/5073","344/22841",2.49109035039846e-21,5.30768317324899e-18,3.18772158172042e-18,"Ric1/Arhgap42/Epha4/Rab11fip2/Met/Dock10/Lims1/C9orf72/Rabgap1/Trappc6b/Rasa2/Mmut/Tbc1d8b/Rapgefl1/Tsc1/Ect2/Tbc1d4/Rdx/Net1/Nedd9/Crk/Chn2/Rictor/Snx13/Ralbp1/Dennd1b/Tbc1d9/Syngap1/Smcr8/Arhgap6/Spry2/Rasa1/Arhgap29/F2r/Iqgap2/Gnao1/Rasgrp1/Lrch1/Fermt2/Pot1b/Dock7/Ralgapb/Rap1gap2/Ralgapa1/Gsk3b/Tbck/Afdn/Bcar3/Amot/Wnk1/Arhgap12/Elmod2/Arfgef1/Rgn/Abr/Rgs14/Ripor2/Picalm/Arap2/Arhgap44/Tbc1d15/Rabgap1l/Sos1/F2rl1/Snx9/Tbc1d2b/Ralgps1/Sos2/Gpr137b/Rapgef6/Snx18/Dock9/Ralgps2/Lrrk2/Itgb1/Cdkl5/Pip5k1a/Crkl/Rgl1/Gapvd1/Tbc1d1/Rab3gap1/Ntrk3/S1pr1/Tbc1d12/Pafah1b1/Mtss2/Prkg1/Plxna4/Cav2/Bbs4/Usp6nl/Kalrn/Sbf2/Wnt5a/Sipa1l3/Wdr41/Dock11/Ttc8/Rasgef1a/Rsu1/Rapgef2/Plxna2/Tiam1/Rasgrp3/Tbc1d16/Evi5/Dab2ip/Map2k1/Plxnc1/Mex3b/Rgs4/Ndel1/Spry1/Als2/Srgap2/Fgd6/Asap1/Ezh2/Rrp1b/Arhgef10/Asap2/Chn1/Tmed2/Plxna3/Agrn/Ntrk1/Ccl9/Ralgds/Rapgef5/Flcn/Plxna1/Vav3/Itga6/Dvl3/Arhgap35/Arhgap24/Nf1/Sipa1l2/Tiam2/Arhgap15/Myo9a/Cblb/Arhgef26/Eif2s1/Tbc1d14/Efna5/Mapre2/Arhgap1/Rasgrf2/Arap3/Adrb1/Prex1/Rab3gap2/Iqgap1",155
"GO:0016358","GO:0016358","dendrite development","141/5073","316/22841",4.6342369041767e-19,6.13969878414704e-16,3.68741872501552e-16,"Epha4/Met/Dock10/Nr3c1/Hecw2/Prex2/Atp7a/Rab21/Abi1/Crk/Pbrm1/Tet1/Robo1/Syngap1/Caprin1/Pdlim5/Trak2/Ube3a/Strn/Camsap2/Cask/Ache/Pak2/Pten/Marcks/Nrp1/Camk1d/Dgkg/Cpeb3/Gsk3b/Il1rap/Adam10/Afdn/Actr2/Wasl/Fmr1/Tmem106b/Bhlhb9/Picalm/Mpdz/Acsl4/Klf7/Arhgap44/Abi2/Dnm1l/Arf4/Slc11a2/Rap2a/Matn2/Dlg5/Fmn1/Slc9a6/Lrrk2/Itgb1/Mecp2/Cyfip1/Opa1/Rere/Cdkl5/Dip2a/Crkl/Ss18l1/App/Uba6/Mapk6/Kidins220/Pafah1b1/Ppp1r9a/Prkg1/Myo6/Zdhhc15/Dcdc2a/Rbfox2/Bbs4/Arid1b/Kalrn/Hprt/Ankrd27/Abl2/Map2/Crebbp/Rhoa/Pias2/Ephb1/Lrp8/Tbc1d24/Dact1/Rapgef2/Vldlr/Slc12a5/Rock2/Bdnf/Mef2c/Hnrnpk/Dab2ip/Numb/Dhx36/Reln/Igf2bp1/Shank3/Sdc2/Septin7/Stau2/Mapk8/Actr3/Mfsd2a/Dab1/Nedd4l/Srgap2/Asap1/Ezh2/D16Ertd472e/Nrg1/Cux2/Grip1/Mfn2/Ctnna2/D130043K22Rik/Lpar1/Mef2a/Zmynd8/Tanc2/Lamc2/Spire1/Lrp4/Eef2k/Dnm3/Cdc42/Slc25a46/Cit/Map1a/Btbd3/Fcgr2b/Ywhah/Hdac2/Nlgn2/Caprin2/Plk2/Sh3glb1/Cdkl3/Iqgap1",141
"GO:0072001","GO:0072001","renal system development","150/5073","344/22841",4.80264297883842e-19,6.13969878414704e-16,3.68741872501552e-16,"Aqp11/Slc12a1/Angpt1/Epha4/Tbc1d32/Gcnt1/Adamts6/Itga8/Nid1/Rpgrip1l/Yap1/Hs3st3b1/Cflar/C1galt1/Rrm2b/Ahr/Nek1/Mtss1/Tsc1/Bcl2/Odc1/Six4/Ptch1/Sfrp1/Vegfa/Lgr4/Pbx1/Mecom/Robo1/Acvr2b/Rarb/Fras1/Angpt2/Smad2/Pkd2/Tet2/Nrp1/Rdh10/Lhx1/Bmp2/Ctnnd1/Fat4/Wwtr1/Ednra/Zbtb16/Bicc1/Erbb4/Pdgfd/Wt1/Apc/Efnb2/Adamts1/Sgpl1/Dync2h1/Enpep/Nup160/Klhl3/Col4a3/Dlg1/Tfap2b/Zbtb14/Arid5b/Pdgfra/Col4a4/Gcnt4/Dlg5/Robo2/Fmn1/Cc2d2a/Klf15/Lrrk2/Invs/Tiparp/Epha7/Ctnnb1/Jag1/Pkd1/Stat1/Pds5a/Itgb3/Tgfbr1/Traf3ip1/Sim1/Wnt5a/Amer1/Prdm1/Ttc8/Rhoa/Irx2/Emx2/Sox4/Bdnf/Mef2c/Tshz3/Plce1/Frem2/Cep290/Sulf1/Smad7/Pkhd1/Notch2/Tmem67/Adamts16/Hs2st1/Ednrb/Hoxd11/Gzf1/Spry1/Anxa4/Hoxa11/Slit2/Cat/Fgfr2/Cfh/Ift88/Fgf2/Wnt9b/Smad9/Col4a1/Flcn/Vangl2/Nkx3-1/Notch1/Nf1/Smad3/Kif26b/Myo1e/Smad4/Lrp4/Smad5/Zmpste24/Pdgfb/Dll1/Cntrl/Ext1/Cd44/Aldh1a2/Traf3ip2/Agtr1a/Egr1/Smad1/Hs3st3a1/Smo/Sall1/Sulf2/Nphp3/Tek/Asxl1/Greb1l/Bcl2l11",150
"GO:0016570","GO:0016570","histone modification","194/5073","493/22841",3.47791532910387e-18,2.77885434795399e-15,1.66894173753182e-15,"Rif1/Atxn7/Dr1/Uty/Asxl2/Arid4b/Rlf/Arid4a/Atrx/Mbd2/Rcor1/Kdm7a/Jarid2/Tet1/Taf4/Mier1/Vegfa/Setdb2/Kdm4c/Rcor3/Kdm6a/Kmt2c/Pim3/Atm/Ing5/Nsd3/Usp3/Kat2b/Rest/Nfya/Naa50/Kdm1b/Sirt1/Jade1/Tet2/Brd1/Mbtd1/Rybp/Nr1h4/Gatad2b/Kat6a/Rnf168/Tet3/Snai2/Ep300/Wdr82/Phf2/Ccna2/Ppp4r3b/Mthfr/Kdm4a/Fmr1/Kdm5a/Kdm3b/Kdm5d/Lcor/Phf20l1/Mysm1/Jmjd1c/Kmt5b/Cul4b/Parp2/Trerf1/Mideas/Brca2/Kmt2d/Nsd1/Setd5/Nipbl/Slk/Epc2/Mtf2/Jade3/Ash1l/Smarcad1/Nfyb/Pcgf3/Phf8/Hr/Ogt/Paxip1/Kmt2a/Lrrk2/Tada2b/Kmt2e/Ctnnb1/Mecp2/Rrp8/Yeats2/Dot1l/App/Setd7/Atf2/Kat6b/Kdm2a/Suv39h2/Trip12/Dtx3l/Setd1b/Ncor1/Nsd2/Baz2a/Ezh1/Kdm6b/Ubr2/Crebbp/Eya3/Msl2/Brd8/Kdm3a/Hcfc1/Bmi1/Taf1/Msl3/Pcgf6/Suz12/Jade2/Lpin1/Prkca/Ube2b/Mllt3/Parg/Epc1/Kdm5c/Ncoa1/Hdac8/Bend3/Phf20/Morf4l2/Smarca5/Ctcf/Paxbp1/Rps6ka5/Bcor/Vrk1/Ehmt1/Rnf2/Ezh2/Hnf1a/Prkcd/Ing3/Usp7/Huwe1/Rbbp5/N6amt1/Tada1/Wac/Flcn/Taf2/Taf5l/Ppm1f/Hlcs/Ube2e1/Ube2n/Ncoa6/Kdm5b/Satb1/Per2/Zzz3/Prmt6/Pcgf5/Baz1b/Setdb1/Kansl1/Iws1/Smad4/Mbip/Brd4/Actl6a/Zfp451/Dcaf1/Zmpste24/Riox2/Jak2/Tbl1xr1/Kdm2b/Cdk2/Usp16/Ubr5/Phc1/Akap8/Phf19/Taf6/Trrap/Wdr5b/Brpf3/Hdac2/Glyr1/Naa40/Sin3a/Asxl1/Map3k7/Atg5/Ep400",194
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","138/5073","317/22841",1.47229553318603e-17,1.04565700534723e-14,6.28007229184731e-15,"Apcdd1/Yap1/Tmem64/Dkk2/Xiap/Mbd2/Fzd1/Tnks2/Lats2/Sfrp1/Tmem237/Lgr4/Cdh2/Gnaq/Znrf3/Lats1/Ift80/Adgra2/Cmah/Zeb2/Jade1/Ccny/Rnf146/Bmp2/Ctnnd1/Reck/Cav1/Wwtr1/Gsk3b/Lrp6/Snai2/Wnk1/Usp8/Csnk1g3/Egf/Bicc1/Frzb/Csnk1g1/Apc/Rnf213/Scyl2/Cyld/Atp6ap2/Vgll4/Kank1/Ppp2r3a/Scel/Usp34/Klf15/Lrrk2/Invs/Ctnnb1/Fermt1/Tmem170b/Vps35/Fzd4/Fzd6/App/Sfrp2/Grb10/Dcdc2a/Macf1/Wnt5a/Amer1/Wls/Abl2/Nlk/Ankrd6/Tert/Lypd6/Dact1/Foxo3/Shisa3/Tiam1/Mdfic/Tnks/Sox4/Tnfaip3/Csnk1a1/Sema5a/Lrrk1/Dab2ip/Tnn/Prdm15/Cdk14/Sulf1/Cdh1/Mks1/Tle4/Arntl/Mcc/Ube2b/Mllt3/Shisa2/Rbms3/Plpp3/Gprc5b/Gskip/Tle3/Fgfr2/Sfrp4/Hnf1a/Nrarp/Fgf2/Kremen1/Trabd2b/Vangl2/Zbed3/Ccnyl1/Ddx3x/Notch1/Chd8/Axin2/Tcf7l2/Smad3/Wnk2/Spin1/Dixdc1/Kpna1/Lrp4/Eda/Usp47/Ppm1a/Tbl1xr1/Dkk3/Ubr5/Ccn4/G3bp1/Foxo1/Egr1/Hdac2/Caprin2/Stk3/Sall1/Sulf2/Nphp3/Nfkb1/Sox7",138
"GO:0006914","GO:0006914","autophagy","182/5073","461/22841",2.61674303796818e-17,1.52056559079024e-14,9.13230799949277e-15,"Adra1a/Rragd/Zkscan3/Srpx/Dcaf12/Gopc/Lgals8/C9orf72/Trim34a/Rimoc1/Iigp1/Pik3c2a/Trp53inp1/Tsc1/Bcl2/Nbr1/Acbd5/Tollip/Smg1/Pikfyve/Rnf152/Snapin/Vps13c/Synpo2/Lrba/Hif1a/Snx7/Ubxn2a/Ikbkg/Atm/1600014C10Rik/Arl8b/Smcr8/Atg3/Gnai3/Sirt1/Zfyve1/Mid2/Pik3c2b/Wdfy3/Gsk3b/Fnbp1l/Sesn3/Rab1a/Trappc8/Myo5a/Foxk1/Epm2a/Wipi1/Ulk2/Atg4c/Fbxl2/Kdm4a/Trim30d/Mtmr9/Lix1/Epg5/Atg14/Rnf213/Tbk1/Kdr/Stx12/Vps4b/Mtm1/Bmf/Dnm1l/Ubqln1/Nrbf2/Soga1/Trim14/Rb1cc1/Gpr137b/Snx18/Stat3/Trim12c/Lrrk2/Eif4g2/Sesn1/Atf6/Mtdh/Rock1/Prkaa2/Fbxw7/Prkaa1/Vps13a/Rab3gap1/Lepr/Tbc1d12/Ubxn2b/Vps13d/Dapk1/Chmp4c/Usp33/Fyco1/Sesn2/Sbf2/Cisd2/Wdr41/Eif4g1/Vps39/Mfsd8/Foxo3/Acer2/Tmem39a/Trim21/Tnfaip3/Htt/Vti1a/Npc1/Rab12/Rab23/Map2k1/Ptpn22/Pik3cb/Mtmr4/Lmx1b/Snx4/Snap29/Fundc1/Pafah1b2/Snx30/Herc1/Nampt/Atg13/Dram2/Scfd1/Huwe1/Ift88/Lamp2/Vps33a/Sptlc1/Wac/Flcn/Sec22b/Sptlc2/Tigar/Zfyve26/Mfn2/Hspb8/Retreg1/Rraga/Rubcn/Ap4m1/Trim5/Rnf41/Tmem59/Trim68/Rragb/Tbc1d14/Sec16a/Rab33b/2610002M06Rik/Zmpste24/Nod2/Scoc/Slc25a46/Ulk1/Pip4k2a/Mtcl1/Uba5/Depp1/Plk3/Atg12/Uvrag/Foxo1/Pip4k2c/Wdfy4/Larp1/Igtp/Plk2/Smo/Sh3glb1/Trim30a/Pmp22/Vmp1/Mtmr3/Rab3gap2/Foxk2/Map3k7/Bcl2l11/Atg5/Chmp2b",182
"GO:0061919","GO:0061919","process utilizing autophagic mechanism","182/5073","461/22841",2.61674303796818e-17,1.52056559079024e-14,9.13230799949277e-15,"Adra1a/Rragd/Zkscan3/Srpx/Dcaf12/Gopc/Lgals8/C9orf72/Trim34a/Rimoc1/Iigp1/Pik3c2a/Trp53inp1/Tsc1/Bcl2/Nbr1/Acbd5/Tollip/Smg1/Pikfyve/Rnf152/Snapin/Vps13c/Synpo2/Lrba/Hif1a/Snx7/Ubxn2a/Ikbkg/Atm/1600014C10Rik/Arl8b/Smcr8/Atg3/Gnai3/Sirt1/Zfyve1/Mid2/Pik3c2b/Wdfy3/Gsk3b/Fnbp1l/Sesn3/Rab1a/Trappc8/Myo5a/Foxk1/Epm2a/Wipi1/Ulk2/Atg4c/Fbxl2/Kdm4a/Trim30d/Mtmr9/Lix1/Epg5/Atg14/Rnf213/Tbk1/Kdr/Stx12/Vps4b/Mtm1/Bmf/Dnm1l/Ubqln1/Nrbf2/Soga1/Trim14/Rb1cc1/Gpr137b/Snx18/Stat3/Trim12c/Lrrk2/Eif4g2/Sesn1/Atf6/Mtdh/Rock1/Prkaa2/Fbxw7/Prkaa1/Vps13a/Rab3gap1/Lepr/Tbc1d12/Ubxn2b/Vps13d/Dapk1/Chmp4c/Usp33/Fyco1/Sesn2/Sbf2/Cisd2/Wdr41/Eif4g1/Vps39/Mfsd8/Foxo3/Acer2/Tmem39a/Trim21/Tnfaip3/Htt/Vti1a/Npc1/Rab12/Rab23/Map2k1/Ptpn22/Pik3cb/Mtmr4/Lmx1b/Snx4/Snap29/Fundc1/Pafah1b2/Snx30/Herc1/Nampt/Atg13/Dram2/Scfd1/Huwe1/Ift88/Lamp2/Vps33a/Sptlc1/Wac/Flcn/Sec22b/Sptlc2/Tigar/Zfyve26/Mfn2/Hspb8/Retreg1/Rraga/Rubcn/Ap4m1/Trim5/Rnf41/Tmem59/Trim68/Rragb/Tbc1d14/Sec16a/Rab33b/2610002M06Rik/Zmpste24/Nod2/Scoc/Slc25a46/Ulk1/Pip4k2a/Mtcl1/Uba5/Depp1/Plk3/Atg12/Uvrag/Foxo1/Pip4k2c/Wdfy4/Larp1/Igtp/Plk2/Smo/Sh3glb1/Trim30a/Pmp22/Vmp1/Mtmr3/Rab3gap2/Foxk2/Map3k7/Bcl2l11/Atg5/Chmp2b",182
"GO:0060562","GO:0060562","epithelial tube morphogenesis","161/5073","395/22841",5.88086756032396e-17,3.1325421204659e-14,1.8813617537282e-14,"Angpt1/Epha4/Kif20b/Met/Yap1/Hs3st3b1/Nr3c1/Tbx3/Ahr/Mtss1/Tsc1/Bcl2/Ift57/Six4/Apaf1/Igf1/Fzd1/Ptch1/Slc12a2/Sfrp1/Vegfa/Lgr4/Pbx1/Robo1/Hif1a/Kdm6a/Mib1/Tmtc3/Bcl10/Pkd2/Spry2/Arl13b/Zeb2/Nrp1/Rdh10/Prkacb/Lhx1/Bmp2/Fat4/Med1/Etv5/Gja1/Lrp6/Ednra/Egf/Mthfr/Wt1/B4galt1/Clic4/Efnb2/Dag1/Gna13/Klhl3/Kdr/Dlg1/Pxn/Arid1a/Ncoa3/Tgfbr2/Casr/Pdgfra/Dlg5/Fmn1/Cc2d2a/Csf1/Epha7/Ctnnb1/Opa1/Tead1/Fzd6/Pkd1/Sfrp2/Ppp3r1/Kdm2a/Cxcl12/Bbs4/Cecr2/Wnt5a/Vdr/Abl2/Rhoa/Irx2/Hectd1/Itgax/Dlc1/Rock2/Ipmk/Sox4/Mef2c/Nckap1/Etv4/Sema5a/C2cd3/Rab23/Mks1/Pkhd1/Notch2/Tmem67/Csmd1/Shank3/Adamts16/Tulp3/Ar/Hs2st1/Kras/Luzp1/Adm/Hoxd11/Gzf1/Spry1/Grhl2/Hoxa11/Slit2/Esr1/Fgfr2/Nrarp/Fzd3/Fgf2/Tmed2/Flt1/Wnt9b/Esrp2/Col4a1/Vangl2/Nkx3-1/Notch1/Dvl3/Arhgap35/Kdm5b/Rbm15/Smad3/Kif26b/Nfatc3/Dicer1/Acvr1/Ski/Smad4/Tgif1/Lmo4/Dll1/Nup50/Ext1/Cd44/Kdm2b/Aldh1a2/Casp8/Agtr1a/Alox12/Hs3st3a1/Alx1/Smo/Esrp1/Stk3/Foxp1/Sall1/Specc1l/Nphp3/Tek/Greb1l/Map3k7/Prkaca",161
