"","ensembl.id","Symbol","moduleColor","GS.AUC.urea","GS.prot.int","GS.carb.int","GS.fgf21.serum","GS.creat.D2","p.GS.AUC.urea","p.GS.prot.int","p.GS.carb.int","p.GS.fgf21.serum","p.GS.creat.D2","MM.paleturquoise","p.MM.paleturquoise","MM.maroon","p.MM.maroon","MM.darkseagreen4","p.MM.darkseagreen4","MM.lightsteelblue1","p.MM.lightsteelblue1","MM.cyan","p.MM.cyan","MM.darkred","p.MM.darkred","MM.darkslateblue","p.MM.darkslateblue","MM.skyblue1","p.MM.skyblue1","MM.skyblue2","p.MM.skyblue2","MM.plum2","p.MM.plum2","MM.darkorange","p.MM.darkorange","MM.mediumorchid","p.MM.mediumorchid","MM.grey","p.MM.grey"
"ENSMUSG00000071178","ENSMUSG00000071178","Serpina1b","maroon",-0.623075011758756,-0.754374309001095,0.557321306509888,0.701995059377273,-0.653978018767254,0.00333812605187409,0.000121624159705086,0.0106823372848035,0.000560234461852603,0.00176123174507266,0.641572473106474,0.00229531134791204,0.869540798375421,6.41363152073181e-07,-0.467079155349037,0.0378627418964044,-0.712771448966401,0.000420295711084405,-0.482138324486831,0.0313331530748928,0.105807981835468,0.657064777972758,0.597613063617138,0.00539127728323398,0.169629946925098,0.474628093044716,0.424341790172638,0.0622141862394048,0.172379314146268,0.46738932398328,0.0310827498668918,0.896497962658667,0.144088291639423,0.544470033992041,0.0162153445786743,0.945903487447505
"ENSMUSG00000030815","ENSMUSG00000030815","Phkg2","maroon",-0.669732155604761,-0.663618198237135,0.308379345767014,0.674086944118264,-0.595748724889726,0.00123669460739316,0.00142196994738588,0.185892407713592,0.00111749608717633,0.00557536223362739,0.716388872980562,0.00038055936722017,0.80205028193,2.1066841874554e-05,-0.477184509358017,0.0333753788182181,-0.487066375709079,0.029399966962953,-0.454549514376209,0.0440616200419787,0.428206582934713,0.0596203402017491,0.393887169755523,0.0857311935726862,0.325889716844718,0.160853177264036,0.0411530611940737,0.863229992264637,-0.168508082886523,0.477597901068302,0.177373681477297,0.454384237376833,0.0535959311880402,0.822433936122713,-0.0559035377955021,0.814912899694398
"ENSMUSG00000066366","ENSMUSG00000066366","Serpina1a","maroon",-0.587838220512739,-0.745846971392952,0.517408457942928,0.658552516109793,-0.56506263458985,0.00641495270674824,0.000159790937741913,0.0194687172375113,0.0015926465352791,0.00942819252494706,0.666491783893497,0.00133217917045847,0.915953449916333,1.46037096857572e-08,-0.485249745762914,0.0301013811930694,-0.776951765537896,5.58751054534799e-05,-0.56819337707945,0.00895631183605389,0.159028810516857,0.503057476097335,0.682670564079395,0.000910707003927568,0.153038412314574,0.519477024160974,0.337196485842039,0.145981995784668,0.0572913856594835,0.810397026980274,-0.0296358725138578,0.901292811382249,0.156986240837115,0.508627798813697,0.0178201517436423,0.940558295354897
"ENSMUSG00000079015","ENSMUSG00000079015","Serpina1c","maroon",-0.596283148150351,-0.723420762083161,0.504700061951799,0.636360620053602,-0.559431149368916,0.00552207227226973,0.000312401233829467,0.0232376113043211,0.00255688564155674,0.0103278458769479,0.623873695574914,0.00328614503509198,0.925530944247258,5.09391692363882e-09,-0.431199704783439,0.0576684578538822,-0.725463318710855,0.000294673594623085,-0.575340790656497,0.00795084033300113,0.183305349295628,0.439184140818401,0.624474823097185,0.00324746661973801,0.208761650448042,0.377081901164124,0.256050840350283,0.275864672797041,0.00871842167892125,0.97089970553369,-0.0515586011157585,0.829086515637335,0.103191014673076,0.665066712018102,0.046941146533091,0.844204946970153
"ENSMUSG00000035757","ENSMUSG00000035757","Selenoo","maroon",-0.425356569119448,-0.630327820990687,0.565087529531867,0.635793527493303,-0.476641403373455,0.0615250186162128,0.00289023821633588,0.00942436203439282,0.00258678819103261,0.0336054506123198,0.356191559966376,0.123211034926348,0.757123248415331,0.000111124005528057,-0.211519285160493,0.37066731497876,-0.545321064533935,0.0128910642417019,-0.550742932630522,0.011851483084553,0.0174150954081159,0.941907209719495,0.487189893768135,0.029352745858533,0.298621094583085,0.200930371480564,0.231490664534612,0.326088293674683,-0.0338261177279032,0.887416244891233,-0.209455110645211,0.375462976409072,-0.0644217327512249,0.78728952667992,-0.000781211382865019,0.997391953120533
"ENSMUSG00000029154","ENSMUSG00000029154","Cwh43","maroon",-0.390319157813896,-0.555401737081544,0.328843358837853,0.620890845079909,-0.529800131232419,0.0888644142806689,0.0110133746759155,0.156871537289565,0.00348377672611308,0.0162796751532673,0.55553614246799,0.010989928507031,0.812819103650145,1.32816522249199e-05,-0.371606015252934,0.106690170307189,-0.391121807516212,0.0881523399069227,-0.335143558042638,0.148607852166216,0.30696420001022,0.188024643912096,0.297014776297699,0.203481236452233,0.29806187263095,0.20181599605843,0.123158982144356,0.604949797366613,-0.143679824245989,0.545623544699421,0.139519867228543,0.557433880339806,0.0426541113964367,0.858288750572306,-0.234777124147398,0.319071908598463
"ENSMUSG00000033860","ENSMUSG00000033860","Fgg","maroon",-0.363347129012601,-0.760481634664449,0.615143527265512,0.616172206808359,-0.58459961251313,0.115329263820632,9.93605077705231e-05,0.00389242226973827,0.00381649976475645,0.00678734892927573,0.443519966179944,0.0501407470517366,0.834775833512313,4.70532462383958e-06,-0.31190861356834,0.180646097334107,-0.679485113452693,0.000983310825413552,-0.487001154839752,0.0294249250330167,-0.0317872935160441,0.894164395085228,0.614931857163552,0.00390819889779276,0.174634642449571,0.461493352292693,0.129948080822317,0.585031408831612,0.0410728737714983,0.863494097007713,-0.153746302210543,0.517523642144455,0.0968613792945853,0.684564230400122,0.0713171945912107,0.765104641261598
"ENSMUSG00000038991","ENSMUSG00000038991","Txndc5","maroon",-0.514553152669116,-0.585775649996908,0.274714377343545,0.614457694894343,-0.55044478775831,0.0202697743981383,0.00665012447462682,0.241126050053424,0.00394373240006866,0.0119068272141503,0.443190409711494,0.0503317713177743,0.711292850146659,0.000437524805730145,-0.256952854010539,0.274117624742742,-0.267884736140554,0.253494705666611,-0.420452648510536,0.0649095261065437,0.451138257145637,0.0458776153769254,0.223550961197795,0.343413263540148,0.4087810453695,0.073527420966754,-0.14685500840345,0.536686134405249,-0.287481374299169,0.219063118457578,0.00956397382950091,0.96807874250191,-0.0951037712784875,0.690013174903804,0.0651942269775621,0.784795969491344
"ENSMUSG00000038567","ENSMUSG00000038567","Cyp24a1","maroon",-0.577602875523212,-0.870897245395215,0.629160380323934,0.614249903451882,-0.82910728447735,0.00765256469195845,5.86803430851821e-07,0.00295874900308504,0.00395938828299355,6.23611287688278e-06,0.439406563166004,0.0525651561477372,0.726189452038836,0.000288581723438888,-0.312600849954971,0.179628986902978,-0.625933949329057,0.00315515245036441,-0.425141409416874,0.061670655839481,0.0510234377192377,0.830835885290495,0.499978294311218,0.024776814206301,0.135397338745837,0.569248831225004,0.322153467906938,0.165988992298942,0.197830179972151,0.403117508097148,-0.0851086046957403,0.721273096632084,0.0726878813903691,0.7607150298408,-0.0751849432140398,0.752736366061162
"ENSMUSG00000020838","ENSMUSG00000020838","Slc6a4","maroon",-0.386540099766769,-0.641620506457214,0.318175960861214,0.608370415770324,-0.537803232788847,0.0922739937932177,0.00229300884713491,0.171579047986707,0.00442418515431633,0.0144530733098968,0.428951126546139,0.0591301977704116,0.815898993592084,1.15776291592028e-05,-0.204098770531285,0.388069376985953,-0.372599976145967,0.10568296445889,-0.549919794110899,0.0120047890086408,0.384685838659742,0.0939816166146309,0.321314077672137,0.167158128291439,0.43427209436475,0.0557157249291983,-0.117700335779619,0.6211629298731,-0.182506165085978,0.441216370085537,-0.101725007476068,0.669564694557617,-0.134280226739004,0.572469111580688,0.0161189316826944,0.946224686628983
