sample,group,AUC.urea,prot.int,carb.int,fgf21.serum,creat.D2
Ctrl1,Ctrl,840,0.075270786,0.265728685,0.749994146,2.434292343
Ctrl2,Ctrl,617.3,0.085688052,0.30250479,0.490549637,0.931786543
Ctrl3,Ctrl,653.4,0.073790544,0.260502982,1.001331013,2.329466357
Ctrl5,Ctrl,1074,0.071010474,0.25068849,0.891877861,1.386032483
Ctrl6,Ctrl,640.5,0.083240797,0.293865239,1.14726855,2.259582367
HC1,HC,557.5,0.02320898,0.606511064,12.16149871,0.465916
HC2,HC,612.8,0.023137906,0.603367794,4.098449837,0.187112
HC3,HC,756.5,0.02319809,0.605435229,3.474161488,0.465916
HC4,HC,554.7,0.025234995,0.638058809,9.068433708,0.117411
HC5,HC,532.9,0.024342693,0.621828431,2.566105707,0.884122
HC6,HC,308.5,0.024207062,0.621206766,6.855047743,0.326514
LPHC1,LPHC,445.1,0.009332125,0.685237386,7.734374,0.512482599
LPHC2,LPHC,324.1,0.0092094,0.676909803,11.17008,0.372714617
LPHC4,LPHC,231.8,0.004193813,0.641992203,16.95438,0.302830626
LPHC5,LPHC,254.2,0.00440091,0.677425891,8.144608,0.372714617
LPHC6,LPHC,346.9,0.003971074,0.611202107,11.86748,0.302830626
LP1,LP,357,0.026516714,0.344717278,14.21273186,0.117411
LP2,LP,574.4,0.027434408,0.356647307,3.960619942,0.326514
LP3,LP,145,0.027827815,0.36176159,10.94129876,0.187112
LP4,LP,197.7,0.029975635,0.389683254,6.782078975,0.326514
LP5,LP,161,0.028963799,0.37652939,8.018494212,0.326514
LP6,LP,360.4,0.030967034,0.402571447,14.4194767,0.117411
